hom_2_9 write%2:32:03:: place%2:32:00::
hom_87_13 tap%1:04:00:: answer%2:31:05::
hom_88_11 match%1:11:00:: held%3:44:00::
hom_90_3 frisson%1:12:00:: blaze%1:04:00::
hom_91_15 root%2:42:00:: dying%5:00:00:eager:00
hom_93_14 ramify%2:30:01:: separate%2:30:04::
hom_96_12 waste%2:40:00:: blow%2:30:07::
hom_97_6 toss_off%2:34:00:: adversity%1:11:00::
hom_99_10 unhinge%2:30:00:: framer%1:18:00::
hom_100_20 revel%2:41:00:: racket%2:35:00::
hom_103_7 murmur%2:32:01:: gnarl%2:32:00::
hom_104_17 blame%2:32:01:: job%2:40:00::
hom_108_10 zest%2:39:00:: spice_up%2:39:00::
hom_109_10 bore%2:35:00:: conjure%2:32:03::
hom_110_11 rut%2:42:00:: skater%1:18:00::
hom_112_7 get%2:35:09:: dozen%5:00:00:cardinal:00
hom_113_11 type%2:31:00:: die%2:30:02::
hom_115_11 cue%1:06:00:: billiards%1:04:00::
hom_116_14 potty%5:00:00:unimportant:00 sleep%2:42:00::
hom_117_5 grind%1:07:00:: grind%2:36:04::
hom_119_7 dismay%2:37:00:: alarming%3:00:00::
hom_120_12 speciate%2:30:00:: prof%1:18:00::
hom_124_7 see%2:31:08:: glaze_over%2:30:00::
hom_125_17 possessive%5:00:00:dominant:01 date%2:31:01::
hom_128_16 pitch%1:04:03:: player%1:18:03::
hom_130_11 bristle%2:31:00:: thorny%5:00:00:armed:02
hom_133_12 dough%1:13:00:: wampum%1:21:00::
hom_135_10 advanced%5:00:00:late:00 fruit%2:36:00::
hom_136_15 enfeeble%2:30:00:: job%2:40:00::
hom_137_5 integral%5:00:00:whole:00 surface_area%1:07:00::
hom_138_15 pitch%2:33:04:: play%2:29:04::
hom_140_12 general%2:32:00:: tending%5:00:00:inclined:02
hom_141_17 stable%2:41:00:: predict%2:32:01::
hom_142_17 presence%1:15:00:: front%3:00:00::
hom_145_11 shot%1:04:04:: shot%1:04:07::
hom_147_8 modal%5:00:00:normal:01 die%2:30:02::
hom_148_15 usher%2:38:00:: crayon%2:36:00::
hom_149_9 register%1:07:00:: register%2:31:00::
hom_150_8 reach%2:32:00:: contact%2:35:03::
hom_152_21 fabric%1:06:00:: gig%1:04:00::
hom_154_9 pawn%1:06:00:: chess_game%1:04:00::
hom_156_10 bombshell%1:06:00:: linked%5:00:00:connected:00
hom_157_8 shriek%2:32:00:: die%2:30:02::
hom_159_21 fly%2:30:01:: quick%4:02:00::
hom_160_9 mean%2:32:01:: die%2:30:02::
hom_164_12 write_out%2:32:00:: knife%1:25:00::
hom_165_13 steal%1:04:00:: player%1:18:03::
hom_169_8 right%4:02:09:: die%2:30:02::
hom_170_23 stagecoach%1:06:00:: door%1:06:03::
hom_172_10 vein%2:36:00:: vein%2:36:00::
hom_173_8 tender%2:30:00:: mow_down%2:30:00::
hom_174_17 chain_mail%1:06:00:: link%2:35:02::
hom_175_8 smash%2:35:00:: cosmonaut%1:18:00::
hom_177_8 sweep%2:35:00:: hand%2:38:00::
hom_178_15 snap%2:35:02:: seatbelt%1:06:00::
hom_179_10 stress%1:26:03:: sharpen%2:30:03::
hom_181_17 net%1:06:03:: draw%2:29:00::
hom_183_7 cavity%1:22:00:: fill%2:30:02::
hom_185_12 trouble%1:09:00:: drama%1:07:00::
hom_186_13 cram%2:31:00:: bone%5:00:01:bony:00
hom_188_22 wimp%1:18:00:: sidestep%2:32:00::
hom_189_11 drive%2:35:03:: require%2:34:00::
hom_191_11 identity%1:07:00:: teacher%1:09:00::
hom_193_14 testis%1:08:00:: bounce%2:35:00::
hom_195_7 makeover%1:04:01:: makeover%1:04:01::
hom_196_14 target%2:33:00:: fence%2:32:00::
hom_197_13 unretentive%3:00:00:: short%2:36:00::
hom_198_3 march%1:28:00:: song_dynasty%1:14:00::
hom_199_21 tell%2:32:01:: recount%2:32:02::
hom_201_13 limp%2:38:00:: hitch%2:35:13::
hom_202_12 scram%2:38:00:: hurdle%2:38:00::
hom_203_7 popular%5:00:00:nonclassical:00 blab_out%2:32:00::
hom_207_8 combination%1:04:00:: science%1:09:02::
hom_208_13 weapon%1:06:00:: question%2:32:02::
hom_209_17 distribute%2:40:00:: agent%1:10:00::
hom_214_13 fly%2:38:05:: learn%2:32:02::
hom_217_12 domain%1:14:01:: work%2:30:10::
hom_218_5 stand%2:35:10:: leg%1:04:00::
hom_219_12 dough%1:13:00:: wampum%1:21:00::
hom_220_11 solution%1:14:00:: square%4:02:01::
hom_221_19 right%5:00:00:outside:00 side%3:00:00::
hom_222_7 high%1:15:00:: pilot%2:38:01::
hom_223_9 still%4:02:01:: stock-still%4:02:00::
hom_224_11 write_out%2:32:00:: scissor%2:35:00::
hom_225_8 smash%2:35:00:: nail%2:33:00::
hom_226_10 dismay%2:37:00:: security_measures%1:04:00::
hom_227_14 suffer%2:29:01:: bring_forth%2:29:00::
hom_228_10 kid%2:32:00:: around%4:02:02::
hom_229_3 seethe%2:37:00:: taste%2:31:05::
hom_231_14 multitude%1:14:01:: state%2:32:02::
hom_233_26 tension%1:04:00:: shout%2:32:08::
hom_234_6 suit%2:42:02:: suit%2:42:01::
hom_235_9 pennant%1:10:01:: considered%5:00:00:well-advised:00
hom_236_12 mass%1:04:00:: catholic%1:18:00::
hom_237_8 hum%2:42:00:: die%2:30:02::
hom_238_3 perpetrate%2:41:00:: committed%3:00:04::
hom_243_11 sweep%2:33:00:: nation%1:14:02::
hom_245_10 uproot%2:35:00:: sawbones%1:18:00::
hom_250_9 slip%2:40:10:: stealer%1:18:00::
hom_251_13 reproduce%2:29:00:: teacher%1:09:00::
hom_254_16 start%1:15:00:: track%2:38:00::
hom_255_10 servant%1:18:00:: ask%2:32:09::
hom_258_14 gravity%1:12:00:: fail%2:30:04::
hom_259_13 snowflake%1:19:00:: predict%2:32:01::
hom_260_12 ghostwriter%1:18:00:: haunted%5:00:00:inhabited:00
hom_261_11 fall%2:38:03:: shoetree%2:30:00::
hom_262_5 sap%2:35:00:: shoetree%2:30:00::
hom_266_12 vaulting_horse%1:06:00:: bring_forth%2:29:00::
hom_267_9 staff%1:14:00:: faculty%1:14:00::
hom_268_12 witness%2:39:01:: technician%1:18:01::
hom_273_9 punch%2:35:01:: perforate%2:35:00::
hom_274_14 drool%1:08:00:: spittle%1:08:00::
hom_276_13 logarithm%1:10:00:: keep_company%2:42:00::
hom_277_7 putter%2:35:01:: away%4:02:02::
hom_278_18 tip%2:30:00:: salary%1:21:00::
hom_281_15 cricket_bat%1:06:00:: fast%5:00:00:hurried:00
hom_282_19 reservation%1:10:00:: reservation%1:04:00::
hom_283_22 overboard%4:02:01:: marvel%2:32:12::
hom_284_14 stock%5:00:00:standard:02 investiture%1:04:00::
hom_285_19 sentence%2:32:00:: break%2:30:03::
hom_286_10 hop%1:20:00:: brew%2:30:00::
hom_288_17 winnow%2:35:05:: blow%2:30:07::
hom_289_7 season%2:39:00:: veteran%5:00:00:experienced:00
hom_293_18 impression%1:07:00:: stamp%2:35:03::
hom_294_11 trip%2:36:00:: technician%1:18:01::
hom_296_7 mold%1:20:00:: bear_in_mind%2:31:00::
hom_298_11 tune%2:30:00:: thing%1:03:00::
hom_300_5 hedge%2:30:00:: reckon%2:31:05::
hom_301_14 dame%1:18:00:: flick%2:30:00::
hom_308_35 accept%2:40:00:: touch_on%2:30:00::
hom_310_17 peach%1:13:00:: trafficker%1:18:00::
hom_313_12 saying%1:10:00:: expression%1:04:00::
hom_315_21 maroon%2:30:00:: stranded%5:00:00:unaccompanied:00
hom_316_14 prone%5:00:00:unerect:00 though%4:02:01::
hom_317_20 dress%2:35:00:: please%4:02:00::
hom_318_17 blow%2:40:00:: mattress%1:06:00::
hom_319_13 plaque%1:08:00:: stag%2:32:09::
hom_320_7 strike%2:35:08:: flea%1:05:00::
hom_323_11 shoal%1:17:01:: quite%4:02:04::
hom_324_11 good_luck%1:19:00:: whale%2:33:00::
hom_325_12 report%1:10:00:: jest%2:29:00::
hom_327_13 square%3:00:00:: corner%2:38:00::
hom_328_14 peep%2:39:00:: peep%2:30:00::
hom_330_8 tie%2:36:00:: common%5:00:00:ordinary:00
hom_334_10 natural_gas%1:27:00:: mortified%5:00:00:ashamed:00
hom_338_9 take%2:31:07:: paint_a_picture%2:32:00::
hom_339_17 keep_open%2:40:00:: box%2:35:01::
hom_341_10 agreement%1:09:00:: transcription%1:04:01::
hom_342_14 alert%5:00:00:aware:00 funeral%1:11:00::
hom_344_5 thrust%2:38:02:: rattling%4:02:00::
hom_345_10 throng%2:38:00:: contact%2:35:03::
hom_348_19 accident%1:11:00:: mine%2:33:00::
hom_349_7 windowpane%1:06:00:: chance%1:26:00::
hom_350_11 flat%5:00:00:even:01 plane%5:00:00:even:01
hom_354_3 submerge%2:35:00:: underwater%5:00:00:aquatic:00
hom_355_15 store%1:21:00:: soup%2:29:00::
hom_356_8 stripe%2:35:00:: peer_review%2:32:00::
hom_357_7 suck%2:38:00:: clean%5:00:00:unaddicted:00
hom_358_8 touch%2:37:00:: speech%1:09:00::
hom_359_8 submit%2:32:00:: tom_turkey%1:05:00::
hom_360_10 trip%2:36:00:: sparkle%2:43:02::
hom_361_7 dead%5:00:00:noncurrent:00 cut%2:32:00::
hom_363_15 list%2:38:00:: footprint%1:07:00::
hom_364_14 pony%1:05:01:: brother%1:18:01::
hom_366_14 prune%1:13:00:: teetotal%5:00:00:sober:01
hom_367_12 terminal%5:00:00:fatal:00 sickness%1:26:00::
hom_369_11 grill%2:30:00:: grilled%5:00:01:cooked:00
hom_371_6 wick%1:06:00:: narrowing%5:00:02:narrow:00
hom_373_21 rough%1:15:00:: forecast%2:31:00::
hom_374_11 topple%2:38:01:: sharpener%1:06:00::
hom_375_11 score%1:26:00:: settle%2:30:13::
hom_378_12 funny_story%1:10:00:: lion%1:15:00::
hom_380_20 step%2:38:00:: kindly%4:02:00::
hom_381_10 tug%2:41:00:: drive%2:33:00::
hom_383_10 song%1:21:00:: isaac_bashevis_singer%1:18:00::
hom_386_9 stage%2:36:01:: marriage%1:26:01::
hom_389_10 trimmed%3:00:00:: salon%1:06:00::
hom_390_13 date%1:13:00:: shoetree%2:30:00::
hom_391_10 longer%4:02:00:: tall%5:00:00:incredible:00
hom_392_5 knock%1:11:00:: bolt%4:02:00::
hom_393_10 waste%2:40:00:: explore%2:31:00::
hom_394_10 warhead%1:06:00:: drunk%5:00:00:excited:00
hom_395_8 accept%2:40:00:: next%4:02:00::
hom_396_18 permit%2:32:00:: quaker%1:18:00::
hom_397_13 august%1:28:00:: upshot%1:19:00::
hom_399_13 draw%2:36:00:: decided%5:00:00:definite:00
hom_400_9 vanish%2:30:01:: habit%2:29:00::
hom_401_13 total%2:32:00:: add%2:42:00::
hom_402_14 stink%2:42:00:: prison_cell%1:06:00::
hom_405_12 mint%5:00:00:perfect:00 mouthwash%1:27:00::
hom_406_6 element%1:25:00:: surprise%2:33:00::
hom_408_11 pas%1:04:00:: pass%3:00:00::
hom_409_10 run_down%2:40:00:: grease_monkey%1:18:00::
hom_411_8 align%2:30:01:: ruler%1:06:00::
hom_412_30 change%2:30:01:: rust%2:30:01::
hom_414_13 incorporate%2:42:00:: hold_back%2:33:00::
hom_417_14 quarter%1:04:00:: colonnade%1:06:02::
hom_418_9 downhill%4:02:01:: contender%1:18:00::
hom_421_16 soil%1:27:01:: import%2:32:00::
hom_422_20 neglect%2:31:00:: blindfolded%5:00:00:blind:00
hom_423_12 deliveryman%1:18:00:: carrier%1:05:00::
hom_424_16 pucker%2:35:00:: brow%1:15:00::
hom_426_7 bible%1:10:00:: always%4:02:01::
hom_428_10 pan%2:32:00:: trash%2:32:00::
hom_429_8 pointless%3:00:00:: wasted%5:00:00:worthless:00
hom_430_16 slip%1:11:00:: slithering%5:00:00:slippery:00
hom_431_15 landslide%1:11:00:: pitch%2:38:01::
hom_432_20 softwood%1:27:00:: next%4:02:00::
hom_434_13 clerical%5:00:00:white-collar:00 mistake%1:10:00::
hom_437_6 suspend%2:42:00:: suspended%5:00:01:supported:00
hom_440_9 land%1:17:00:: mud%2:35:01::
hom_441_9 staff%1:14:00:: faculty%1:14:00::
hom_443_10 potential%1:26:00:: potential%5:00:00:prospective:00
hom_447_29 snapshot%1:06:00:: shoot%2:32:00::
hom_449_17 calf%1:05:01:: together%4:02:05::
hom_451_17 sag%2:38:00:: away%4:02:02::
hom_452_8 ruin%2:30:00:: ruin%2:30:00::
hom_454_11 cabinet%1:06:01:: die%2:30:02::
hom_457_12 gloat%2:32:00:: turdus_merula%1:05:00::
hom_463_8 ache%2:37:06:: away%4:02:02::
hom_464_10 iron%1:27:00:: tool%2:36:00::
hom_467_12 stud%1:06:01:: job%2:40:00::
hom_468_10 bridge%1:06:00:: toll%2:40:00::
hom_470_12 buffer_zone%1:15:00:: zone%2:30:00::
hom_473_23 dummy%2:36:00:: ventriloquist%1:18:00::
hom_478_17 give%2:31:02:: pay%2:40:14::
hom_479_11 change%2:30:00:: god%1:06:00::
hom_481_15 exorbitant%5:00:00:immoderate:00 tea_leaf%1:13:00::
hom_482_9 strengthen%2:30:01:: tope%2:34:00::
hom_483_9 die%2:30:00:: clipper%1:06:00::
hom_485_15 joining%1:04:00:: connexion%1:04:00::
hom_486_8 relative%1:18:00:: rivalry%1:04:00::
hom_487_21 dream%2:39:00:: clinic%1:06:00::
hom_488_9 bore%2:35:00:: tear%2:29:00::
hom_490_12 floor%1:06:01:: build%2:30:10::
hom_491_4 palm%1:20:00:: palm%2:35:00::
hom_493_7 hashish%1:06:00:: discord%2:42:00::
hom_495_11 hold%2:31:08:: press%2:42:01::
hom_496_8 sexual_conquest%1:04:00:: work%2:30:10::
hom_497_12 stamp%1:10:00:: concrete%5:00:00:solid:01
hom_500_20 gun_trigger%1:06:00:: commotion%1:11:00::
hom_502_10 staple%2:35:00:: diet%2:34:00::
hom_503_14 proof%2:30:01:: watered%5:00:00:patterned:00
hom_504_17 reckon%2:31:13:: promise%2:42:00::
hom_508_9 lousy%5:00:00:dirty:01 lousy%5:00:00:nasty:00
hom_509_5 joke%2:29:00:: jest%2:29:00::
hom_511_22 testis%1:08:00:: sequent%5:00:01:subsequent:00
hom_512_11 plant%2:31:00:: presentation%1:07:00::
hom_513_16 total%2:42:00:: boomerang%2:38:00::
hom_514_10 tracing%1:06:00:: trace%2:31:04::
hom_516_10 charge%2:30:00:: assault_and_battery%1:04:00::
hom_520_9 handle%1:06:00:: spellbind%2:37:00::
hom_522_17 file%2:32:02:: nail%2:33:00::
hom_524_9 course%1:04:01:: die%2:30:02::
hom_525_6 ostentation%1:10:00:: invent%2:36:01::
hom_526_10 blend%2:30:00:: unnoticed%3:00:00::
hom_531_12 comb%2:35:00:: van%1:06:00::
hom_535_6 bounce%2:40:01:: zippy%5:00:00:lively:00
hom_538_7 hog%1:05:00:: taradiddle%1:10:00::
hom_540_5 cycle%2:38:03:: sales_agreement%1:10:00::
hom_542_9 serve%2:33:01:: serve%2:33:01::
hom_543_14 late%5:00:00:dead:01 browned%5:00:00:brunet:00
hom_545_8 club%2:41:10:: club%2:35:01::
hom_546_34 sign_of_the_zodiac%1:15:00:: steal%2:33:00::
hom_547_7 downhill%4:02:01:: science%1:09:02::
hom_548_21 touch%2:37:00:: next%4:02:00::
hom_550_10 mammoth%1:05:00:: underframe%1:06:00::
hom_552_6 trouble%1:09:00:: teacher%1:09:00::
hom_554_14 fashion%1:09:00:: forge%2:36:02::
hom_555_10 spruce%1:20:00:: dec_25%1:28:00::
hom_557_9 slice%1:04:00:: cake%2:35:01::
hom_558_9 hasty%5:00:02:hurried:00 sharp%5:00:00:steep:00
hom_563_6 fall%2:30:15:: break_down%2:30:00::
hom_565_10 bottle%2:35:00:: emotion%1:12:00::
hom_566_14 straight%3:00:04:: band%2:35:10::
hom_568_8 sake%1:07:00:: bring_forth%2:29:00::
hom_569_1 ability%1:09:00:: especially%4:02:01::
hom_570_8 psychiatrist%1:18:00:: away%4:02:02::
hom_571_10 support%2:41:00:: needs%4:02:00::
hom_573_7 disappear%2:30:00:: die%2:30:02::
hom_574_11 joining%1:04:00:: twin%2:29:00::
hom_575_11 charge%2:30:00:: tope%2:34:00::
hom_578_14 flash%2:30:04:: sales_agreement%1:10:00::
hom_579_13 base%5:00:00:ignoble:01 base%2:34:00::
hom_581_11 weather%2:30:00:: die%2:30:02::
hom_582_9 buffalo%2:37:00:: bison%1:05:00::
hom_584_17 lie%2:32:00:: sojourner_truth%1:18:00::
hom_586_5 purpose%1:09:00:: creative_person%1:18:00::
hom_587_7 exercise%1:04:02:: practice%2:41:03::
hom_588_8 steal%2:38:00:: away%4:02:02::
hom_590_11 pop%2:30:03:: pop%4:02:00::
hom_591_10 right%4:02:09:: crash%2:29:00::
hom_593_13 react%2:41:00:: willing%5:00:00:voluntary:01
hom_594_7 tend%2:42:01:: roof%2:35:00::
hom_595_14 downhill%4:02:00:: find%2:30:13::
hom_596_16 quality%1:07:02:: round_shot%1:06:00::
hom_597_6 stable%2:41:00:: sensual%5:00:00:physical:00
hom_598_9 cold%1:26:00:: cold%5:00:00:dead:01
hom_599_12 kick%2:34:00:: habit%2:29:00::
hom_600_16 bench%1:14:01:: girl%1:18:04::
hom_602_10 grouper%1:13:00:: school%2:38:00::
hom_604_19 thin%3:00:01:: thin%5:00:01:insignificant:00
hom_605_6 melt%2:30:10:: melting%5:00:00:unfrozen:00
hom_608_8 steal%2:38:00:: away%4:02:02::
hom_609_13 cleanse%2:29:00:: lather%2:29:00::
hom_614_18 steep%1:17:00:: prop%1:06:02::
hom_619_12 tug%2:41:00:: linksman%1:18:00::
hom_620_13 up%2:30:00:: watchful%5:00:00:awake:00
hom_621_6 exercise%1:04:02:: corp%1:14:00::
hom_622_4 rash%5:00:00:imprudent:00 financial_statement%1:10:00::
hom_624_11 swell%1:11:00:: straw_hat%1:06:00::
hom_627_1 stand-in%1:18:00:: ordinarily%4:02:00::
hom_628_13 storm%2:43:01:: landed%3:00:00::
hom_629_11 boodle%1:21:00:: man%1:05:00::
hom_630_8 scale%2:30:01:: operation%1:04:07::
hom_635_18 academic_degree%1:10:00:: equivocalness%1:07:00::
hom_636_10 stand-in%1:18:00:: sculptor%1:17:00::
hom_637_11 frank%1:13:00:: answer%2:31:05::
hom_638_11 saying%1:10:00:: expression%1:04:00::
hom_640_8 pine_away%2:30:00:: worker%1:18:02::
hom_642_12 carry%2:34:00:: plan%2:36:01::
hom_644_9 vision%1:11:00:: vision%1:11:00::
hom_646_15 present%1:21:00:: god%1:06:00::
hom_648_3 high%1:15:00:: like%5:00:00:same:00
hom_650_14 still%4:02:01:: stock-still%4:02:00::
hom_654_11 staff%1:14:00:: chief_executive%1:04:00::
hom_655_14 afraid%5:00:00:concerned:00 phobic_neurosis%1:26:00::
hom_656_3 thwart%2:41:00:: thwarted%5:00:00:unsuccessful:00
hom_658_12 trace%1:23:00:: break_down%2:30:00::
hom_659_7 flexible%3:00:02:: yoga%1:04:00::
hom_660_12 check%2:41:14:: chess_game%1:04:00::
hom_662_10 sift%2:35:00:: strained%5:00:00:affected:01
hom_663_18 resonate%2:39:00:: well%4:02:01::
hom_664_10 pilfer%2:40:00:: accost%2:32:00::
hom_666_9 sweet%1:13:00:: candy%2:39:00::
hom_667_10 notice%2:39:00:: bach%2:42:00::
hom_668_10 discard%2:40:00:: player%1:18:03::
hom_670_15 snapshot%1:06:00:: photograph%2:42:00::
hom_671_6 strike%2:31:00:: surprise%2:33:00::
hom_672_10 top%2:30:03:: exciting%5:00:00:stimulating:00
hom_673_13 hide%1:27:00:: girl%1:18:03::
hom_675_16 point%1:06:00:: eraser%1:06:00::
hom_676_7 steal%2:38:00:: away%4:02:02::
hom_677_6 logarithm%1:10:00:: lumber%2:35:00::
hom_680_17 inseminate%2:29:00:: way%1:21:00::
hom_681_7 degree%1:26:01:: repoint%2:30:00::
hom_686_11 skip%2:38:03:: leash%2:35:00::
hom_687_11 state%1:14:00:: learn%2:32:02::
hom_688_6 coerce%2:41:00:: fitter%1:18:00::
hom_689_15 hack%1:05:02:: horse%2:34:00::
hom_690_5 goal%1:04:00:: bear_in_mind%2:31:00::
hom_691_13 jerky%1:13:00:: mount%2:35:07::
hom_692_7 overboard%4:02:01:: sea%1:19:00::
hom_693_44 wiretap%2:39:00:: id%1:15:00::
hom_694_10 deep%5:00:00:intense:00 pain%2:29:00::
hom_697_12 snap%1:06:00:: fixing%1:06:00::
hom_698_11 hot%3:00:02:: worker%1:18:02::
hom_699_17 rash%5:00:00:imprudent:00 allergic_reaction%1:26:00::
hom_703_8 pressure%1:26:01:: pressure%2:41:01::
hom_704_11 rise%2:38:08:: rosaceous%5:00:00:chromatic:00
hom_705_9 toll%2:40:00:: winning%5:00:00:attractive:01
hom_707_15 remedy%1:06:00:: take_the_air%2:38:00::
hom_710_24 schoolchild%1:18:00:: difficult%3:00:01::
hom_711_8 mown%3:00:00:: articulate%2:32:02::
hom_713_5 relative%1:18:00:: relative%5:00:00:proportionate:00
hom_714_14 crisp%5:00:00:cold:01 disposition%1:07:02::
hom_715_9 wiretap%2:39:00:: life%1:28:03::
hom_716_3 sustain%2:34:00:: keep%2:30:10::
hom_717_10 dawn%1:28:00:: dawn%2:30:00::
hom_718_10 tip%2:40:00:: waiter%1:18:01::
hom_723_13 workplace%1:06:00:: separate%2:31:00::
hom_726_15 pelvis%1:08:00:: orthopedical%3:01:00::
hom_727_9 stage%1:10:00:: throw_up%2:29:00::
hom_728_9 pound%1:06:00:: bad%4:02:03::
hom_729_17 mope%2:38:00:: around%4:02:02::
hom_732_15 inure%2:30:00:: felonious%5:00:00:illegal:00
hom_735_3 wave%2:29:00:: louis_victor_de_broglie%1:18:00::
hom_736_9 start%1:15:00:: come_out%2:38:00::
hom_737_9 kick%1:04:00:: bring_up%2:29:00::
hom_740_10 tear%2:38:00:: officer%2:32:00::
hom_741_8 mercantile_establishment%1:06:00:: store%2:40:02::
hom_742_11 fifth_wheel%1:07:00:: downsize%2:30:00::
hom_745_14 weave%2:38:00:: revel%2:34:00::
hom_748_7 prior%1:18:00:: commendation%1:10:01::
hom_749_11 perspective%1:07:00:: linear_perspective%1:07:00::
hom_751_8 rattle%2:39:00:: rattled%5:00:00:discomposed:00
hom_753_17 underhand%3:00:00:: ball%2:35:00::
hom_758_11 wimp%1:18:00:: deep-fried%5:00:00:cooked:00
hom_759_7 take%2:33:08:: die%2:30:02::
hom_762_7 vantage_point%1:15:00:: viewpoint%1:15:00::
hom_763_9 stadium%1:06:00:: bowl%2:33:00::
hom_764_14 crane%1:06:00:: indulge%2:41:00::
hom_765_11 overall%5:00:00:gross:00 problem%1:09:00::
hom_767_13 smart%5:00:00:fast:01 smart%5:00:00:automatic:00
hom_768_14 bowling_pin%1:06:00:: skittle_alley%1:06:00::
hom_769_13 average%5:00:02:normal:01 probability%1:07:00::
hom_770_10 trip%1:04:00:: get_off%2:34:00::
hom_771_16 weight_unit%1:23:00:: weight%2:31:00::
hom_774_4 staff%2:33:01:: sometimes%4:02:01::
hom_775_23 joint%1:08:00:: separated%5:00:00:injured:00
hom_778_12 cool%2:30:02:: service_man%1:18:01::
hom_779_12 joining%1:04:00:: frequent%5:00:00:common:01
hom_780_19 log%2:35:00:: trek%2:38:00::
hom_785_23 clam%1:05:00:: investigating%1:04:00::
hom_787_33 exchange%2:40:00:: take_on%2:33:01::
hom_788_11 wring%2:35:00:: thruway%1:06:00::
hom_790_13 waste%2:40:00:: married_woman%1:18:00::
hom_791_18 mown%3:00:00:: stag%2:32:09::
hom_793_7 die%2:30:00:: like%5:00:00:same:00
hom_796_10 light%2:30:00:: work_load%1:04:00::
hom_799_11 dry%5:00:00:humorous:00 humour%2:32:00::
hom_800_15 office%1:26:00:: vent%1:04:00::
hom_805_9 save%2:41:00:: rescue%2:40:00::
hom_806_3 cathexis%1:16:00:: charged%5:00:00:provocative:00
hom_807_10 appendix%1:10:00:: medical%3:01:02::
hom_810_12 fret%2:40:00:: string%2:35:00::
hom_811_17 marked%5:00:00:conspicuous:00 indite%2:36:00::
hom_812_8 pull%2:38:13:: breath%1:19:00::
hom_814_12 prune%1:13:00:: rationalise%2:30:00::
hom_815_6 toss_off%2:34:00:: feel%2:35:11::
hom_817_11 go_steady%2:41:00:: date%2:31:01::
hom_819_15 witness%2:39:01:: solanum_tuberosum%1:20:00::
hom_820_11 peanut%1:13:00:: moil%2:41:00::
hom_821_10 visualize%2:36:00:: figure%2:31:02::
hom_825_13 twist%2:29:00:: take_the_air%2:38:00::
hom_828_18 tight%5:00:00:compact:00 rush%2:38:10::
