het_1_14 allege%2:32:00::
het_184_9 mourn%2:37:01::
het_185_13 kitten%2:29:00::
het_186_20 sheik%1:18:00::
het_187_18 painfully%4:02:01::
het_188_17 fryer%1:13:00::
het_189_10 reflux%1:26:00::
het_193_15 boo%2:32:00::
het_195_11 mourn%2:37:01::
het_196_13 comet%1:17:00::
het_197_6 peace%1:10:00::
het_200_17 wisely%4:02:00::
het_201_7 origin%1:07:00::
het_202_7 unsheathed%3:00:00::
het_203_9 drip%2:38:00::
het_204_12 gnu%1:05:00::
het_206_12 atmosphere%1:26:01::
het_208_9 tone%2:32:00::
het_209_17 sea_bass%1:13:00::
het_213_9 wok%1:06:00::
het_216_10 coup_d'etat%1:04:00::
het_217_10 porpoise%1:05:00::
het_218_9 phase%2:30:00::
het_219_11 fare%1:18:00::
het_221_14 role%1:04:01::
het_222_22 grater%1:06:00::
het_223_7 pollute%2:30:00::
het_224_9 bleached%5:00:00:artificial:00
het_227_11 geek%1:18:01::
het_228_11 gaily%4:02:00::
het_229_8 sail%2:38:00::
het_231_11 grain%1:13:00::
het_234_9 solitaire%1:04:00::
het_235_11 lute%1:06:00::
het_239_7 protease_inhibitor%1:06:00::
het_240_5 ruck%1:14:00::
het_244_12 engorgement%1:04:00::
het_246_11 write%2:36:10::
het_247_20 doe%1:05:00::
het_248_11 devoutly%4:02:00::
het_249_13 apatite%1:27:00::
het_250_9 spade%2:35:00::
het_251_20 wilde%1:18:00::
het_252_13 officiously%4:02:00::
het_253_22 weight_unit%1:23:00::
het_257_12 bark%2:30:00::
het_258_9 confidant%1:18:00::
het_259_15 census%2:32:00::
het_261_26 fissure%1:08:00::
het_263_10 grizzly%1:05:00::
het_264_9 lapp%1:10:00::
het_265_10 loess%1:27:00::
het_267_12 negatively%4:02:00::
het_268_15 broth%1:13:00::
het_276_6 graze%2:35:00::
het_277_22 bluff%5:00:00:steep:00
het_278_12 diplomatically%4:02:00::
het_282_6 marx%1:18:00::
het_283_19 squash_racket%1:06:00::
het_284_14 stun%2:39:00::
het_285_11 forcemeat%1:13:00::
het_287_4 garden%1:06:00::
het_288_8 gorge%2:34:00::
het_289_12 hymn%2:32:00::
het_292_7 solar_flare%1:19:00::
het_293_1 abstinence%1:04:00::
het_294_22 fray%2:35:00::
het_296_8 steal%2:33:00::
het_298_17 star_topology%1:09:00::
het_300_8 symphony_orchestra%1:14:00::
het_302_20 dirk%1:06:00::
het_303_8 stink%2:42:00::
het_305_8 bravely%4:02:00::
het_306_16 lamely%4:02:00::
het_308_31 soar%2:30:00::
het_311_14 yeast%1:20:00::
het_312_8 granulate%2:29:00::
het_313_17 haik%1:06:00::
het_314_3 person%1:03:00::
het_315_9 barbarous%5:00:00:noncivilized:00
het_316_11 bucket%1:06:00::
het_318_12 tease%2:32:00::
het_320_6 turf%1:17:00::
het_322_12 shade%1:07:00::
het_323_12 promise%2:42:00::
het_324_6 rioting%1:26:00::
het_325_7 vitamin_c%1:27:00::
het_326_11 promenade%1:06:00::
het_328_3 praise%1:10:01::
het_329_8 weaken%2:30:00::
het_331_10 poodle%1:05:00::
het_332_18 mow%2:35:00::
het_333_11 parish%1:15:00::
het_334_11 taxi%2:38:00::
het_335_25 hint%1:10:00::
het_336_14 decrease%2:30:00::
het_337_12 peddle%2:40:00::
het_338_9 why%1:16:00::
het_341_13 lumbar%3:01:00::
het_342_10 varnish%2:35:00::
het_345_17 grimly%4:02:00::
het_350_11 whiten%2:30:00::
het_351_38 domestic_fowl%1:05:00::
het_353_14 meteoroid%1:17:00::
het_354_7 maine%1:15:00::
het_356_14 handy%5:00:00:adroit:00
het_357_18 fare%1:18:00::
het_358_10 platter%1:06:00::
het_360_10 sheepishly%4:02:00::
het_362_13 pair%2:35:03::
het_363_8 bidder%1:18:01::
het_364_11 census%2:32:00::
het_365_16 jung%1:18:00::
het_366_25 feint%2:36:00::
het_369_8 flatly%4:02:00::
het_370_33 belle%1:18:00::
het_374_9 abhor%2:37:00::
het_375_20 humerus%1:08:00::
het_377_19 motiveless%5:00:00:unmotivated:00
het_379_9 lodger%1:18:00::
het_380_16 wool%1:05:00::
het_381_12 loftily%4:02:00::
het_382_21 level%2:36:00::
het_384_10 bridle%2:32:00::
het_386_8 baroque%5:00:00:fancy:00
het_387_16 kiln%1:06:00::
het_388_14 battleful%5:00:00:aggressive:00
het_389_18 sirius%1:17:00::
het_391_17 grossly%4:02:00::
het_393_8 mouton%1:13:00::
het_394_15 contentedly%4:02:00::
het_396_12 urn%1:06:01::
het_398_8 cornea%1:08:00::
het_399_4 peddle%2:40:00::
het_400_17 gecko%1:05:00::
het_405_8 wade%2:38:00::
het_406_19 wistfully%4:02:00::
het_408_10 basel%1:15:00::
het_409_11 stalin%1:18:00::
het_410_16 slowly%4:02:02::
het_411_15 stationery%1:10:00::
het_415_13 impertinently%4:02:00::
het_416_4 seemliness%1:07:00::
het_417_18 canvass%2:41:00::
het_418_19 oar%1:06:00::
het_419_14 son%1:18:01::
het_420_15 ante%2:33:00::
het_421_15 gravy%1:13:00::
het_424_12 spin%2:38:01::
het_426_15 callus%2:30:00::
het_427_29 footage%1:21:00::
het_428_8 buttocks%1:08:00::
het_429_12 bough%1:20:00::
het_430_5 alarmingly%4:02:00::
het_431_11 meagerly%4:02:00::
het_434_3 fourth%5:00:00:ordinal:00
het_435_32 tail%1:05:00::
het_440_13 vainly%4:02:00::
het_442_12 principal%1:18:00::
het_444_6 disney%1:18:00::
het_445_11 unsheathed%3:00:00::
het_446_28 bullion%1:06:00::
het_450_11 monotonously%4:02:00::
het_451_15 gait%1:04:02::
het_453_10 rune%1:10:00::
het_454_16 dumbly%4:02:01::
het_457_9 teem%2:42:00::
het_458_12 bode%2:32:00::
het_459_16 patiently%4:02:00::
het_460_1 guerrilla%1:18:00::
het_461_10 greece%1:15:00::
het_464_10 fang%1:05:00::
het_467_5 influential%3:00:00::
het_468_19 tack%2:38:00::
het_469_13 innocuous%5:00:00:inoffensive:01
het_471_16 phase%2:30:00::
het_473_9 gladly%4:02:00::
het_477_3 seize%2:35:00::
het_478_14 guiltily%4:02:00::
het_479_15 russian%1:10:00::
het_480_17 caw%2:32:00::
het_481_32 prince%1:18:00::
het_483_2 waist%1:08:00::
het_485_11 naval%3:01:00::
het_486_15 mussel%1:05:00::
het_488_15 torsion%1:19:00::
het_489_21 corporation%1:14:00::
het_491_5 cantankerous%5:00:00:ill-natured:00
het_492_8 grossly%4:02:00::
het_493_13 decameter%1:23:00::
het_494_7 clause%1:10:00::
het_496_5 magic_trick%1:04:00::
het_497_5 humerus%1:08:00::
het_498_17 aisle%1:06:02::
het_499_9 stirrup%1:06:00::
het_501_16 hilariously%4:02:00::
het_502_9 weight_unit%1:23:00::
het_503_14 ireland%1:15:01::
het_504_10 wickedly%4:02:00::
het_505_7 raisin%1:13:00::
het_506_19 secretively%4:02:00::
het_508_11 wastefully%4:02:00::
het_509_9 wail%2:29:00::
het_510_8 successor%1:18:00::
het_513_28 edam%1:13:00::
het_514_9 peek%1:04:00::
het_516_11 sovereignty%1:07:00::
het_517_3 idol%1:06:00::
het_518_8 tempo%1:28:00::
het_519_7 think%2:31:03::
het_520_20 philately%1:04:00::
het_522_5 knead%2:35:00::
het_523_17 grow%2:30:14::
het_524_17 lodger%1:18:00::
het_525_27 karat%1:23:00::
het_527_31 frieze%1:06:00::
het_528_11 reform%2:30:04::
het_530_5 toll%2:39:00::
het_534_11 swoop%1:10:00::
het_535_18 worm%1:18:00::
het_537_18 sweetness%1:07:00::
het_538_7 shout%2:32:01::
het_539_20 coarse%5:00:00:inferior:02
het_540_14 ironically%4:02:00::
het_542_14 heavy%4:02:00::
het_543_15 transparent%5:00:00:obvious:00
het_545_15 privately%4:02:01::
het_548_8 uterus%1:08:00::
het_549_7 consonant%1:10:00::
het_550_7 margarine%1:13:00::
het_552_11 sieve%1:06:00::
het_553_10 zinc%2:35:00::
het_554_10 bamboozle%2:32:00::
het_555_7 upset%1:04:01::
het_556_18 plane%2:35:03::
het_559_13 consomme%1:13:00::
het_560_8 cheetah%1:05:00::
het_561_7 vault%2:38:00::
het_564_23 yuan%1:14:00::
het_566_6 beta%5:00:00:exploratory:00
het_567_12 psalm%2:36:00::
het_571_9 murder%2:41:00::
het_573_11 think_of%2:31:01::
het_574_16 espresso%1:13:00::
het_578_10 wait%2:41:00::
het_579_8 dime%1:21:00::
het_580_25 rabbit%1:13:00::
het_582_15 concisely%4:02:00::
het_583_2 lead%1:06:00::
het_584_17 negatively%4:02:00::
het_585_8 soapsuds%1:17:00::
het_586_12 butter%1:13:00::
het_587_8 murder%2:41:00::
het_589_40 prophet%1:18:01::
het_592_13 bough%1:20:00::
het_593_21 sirius%1:17:00::
het_595_12 ache%2:37:06::
het_597_32 feat%1:04:00::
het_600_4 sea%1:19:00::
het_605_14 tartly%4:02:00::
het_606_19 assignation%1:04:00::
het_607_17 coolly%4:02:00::
het_608_10 clothing%1:06:00::
het_609_14 vise%1:06:00::
het_610_64 phlox%1:20:00::
het_611_7 sale%1:10:00::
het_612_12 pointlessly%4:02:00::
het_617_7 finnish%1:10:00::
het_618_11 sunday%1:18:00::
het_619_8 sale%1:10:00::
het_621_17 shuck%2:30:00::
het_622_8 whiskey%1:13:00::
het_624_17 charmingly%4:02:00::
het_625_2 son%1:18:01::
het_627_18 drought%1:26:00::
het_628_19 offal%1:13:00::
het_629_7 alloy%2:30:02::
het_630_10 liaison%1:10:00::
het_631_12 sporadically%4:02:00::
het_633_9 wisely%4:02:00::
het_634_4 son%1:18:01::
het_635_12 solution%1:14:00::
het_636_8 wave%2:29:00::
het_638_7 condiment%1:13:00::
het_639_19 writer%1:18:00::
het_640_8 trash%2:40:00::
het_643_21 fortitude%1:07:00::
het_644_23 weight_unit%1:23:00::
het_645_11 brook%1:17:00::
het_646_8 dragon%1:05:02::
het_647_12 feudal%3:01:00::
het_649_8 wanly%4:02:00::
het_651_19 nicely%4:02:00::
het_652_18 succor%2:41:00::
het_653_17 dandy%1:18:00::
het_654_4 son%1:18:01::
het_655_14 chew_over%2:31:00::
het_656_14 navel%1:15:00::
het_657_16 rationally%4:02:00::
het_661_10 sole%2:30:00::
het_662_11 lineage%1:14:00::
het_663_10 hostel%1:06:01::
het_665_16 yell%2:32:00::
het_666_11 wear%2:29:01::
het_667_14 miner%1:18:00::
het_669_8 yawp%2:32:01::
het_670_5 immediately%4:02:00::
het_672_11 tidal_bore%1:11:00::
het_674_15 geek%1:18:01::
het_675_14 samurai%1:14:00::
het_676_14 stationery%1:10:00::
het_678_22 crutch%1:04:00::
het_681_16 deer%1:05:00::
het_683_11 wantonly%4:02:01::
het_684_20 burrow%2:38:00::
het_685_16 leek%1:13:00::
het_686_8 rate%2:31:00::
het_689_11 hello%1:10:00::
het_691_19 piercingly%4:02:00::
het_692_6 ash%2:30:00::
het_693_12 level%2:36:00::
het_694_4 misconception%1:09:00::
het_698_8 spade%2:35:00::
het_699_9 fluke%1:06:00::
het_703_15 position%1:04:01::
het_704_7 dye%2:30:00::
het_706_9 soot%2:35:00::
het_708_15 byte%1:23:00::
het_709_10 bale%2:35:00::
het_710_20 simile%1:10:00::
het_711_20 queue%1:08:00::
het_714_11 trenchantly%4:02:00::
het_716_11 manor%1:21:00::
het_717_16 pensively%4:02:00::
het_718_18 sarcasm%1:10:00::
het_719_8 harangue%2:32:00::
het_721_16 liter%1:23:00::
het_722_2 son%1:18:01::
het_723_10 pane%1:06:00::
het_724_8 lamb%1:13:00::
het_725_12 kiln%1:06:00::
het_730_11 rogue%1:18:00::
het_731_18 drain%1:06:01::
het_732_16 heartlessly%4:02:00::
het_733_7 wait%2:41:00::
het_735_9 bring_around%2:29:01::
het_736_11 peace%1:10:00::
het_737_10 raven%2:34:01::
het_740_10 census%2:32:00::
het_742_17 phase%2:30:00::
het_743_10 paneling%1:06:00::
het_746_13 mariner%1:18:00::
het_749_30 wheel%2:38:02::
het_750_7 perseverance%1:04:00::
het_751_11 vitamin_c%1:27:00::
het_752_15 aunt%1:18:00::
het_753_10 hostel%1:06:01::
het_754_8 engender%2:36:00::
het_755_21 minstrel%2:36:00::
het_756_13 corporal%1:18:00::
het_757_16 cuttingly%4:02:00::
het_758_15 musical_composition%1:10:00::
het_759_12 incremental%5:00:00:additive:00
het_760_10 seed%2:30:02::
het_761_15 rotation%1:11:00::
het_762_2 ritual%1:04:00::
het_763_3 wet%2:29:00::
het_764_11 remora%1:05:00::
het_765_2 four_hundred%5:00:00:cardinal:00
het_768_17 brail%2:33:00::
het_769_8 rugged%5:00:00:difficult:00
het_770_13 violate%2:42:00::
het_771_11 whey%1:27:00::
het_773_11 quarterly%4:02:00::
het_775_8 ceiling%1:07:01::
het_776_12 suitor%1:18:00::
het_777_23 tolkien%1:18:00::
het_781_13 yawp%2:32:01::
het_782_18 disjointedly%4:02:00::
het_783_16 truffle%1:13:02::
het_785_13 sword%1:06:00::
het_786_7 mouton%1:13:00::
het_791_9 whey%1:13:00::
het_793_10 chant%2:32:00::
het_794_11 cryptically%4:02:00::
het_795_21 summarize%2:42:00::
het_798_17 greasy%5:00:00:dirty:01
het_799_15 chablis%1:13:00::
het_802_12 hosta%1:20:00::
het_803_13 wicket%1:06:02::
het_804_11 pail%1:23:00::
het_805_11 metrical_foot%1:10:00::
het_806_15 boringly%4:02:00::
het_807_11 pregnancy%1:26:00::
het_810_11 census%1:04:00::
het_813_9 love%1:09:00::
het_814_19 torte%1:13:00::
het_815_17 ovum%1:08:00::
het_818_9 leek%1:13:00::
het_821_25 root%1:23:00::
het_822_11 pigment%2:30:00::
het_824_10 laconically%4:02:00::
het_825_12 plaque%1:08:00::
het_826_10 libel%1:10:01::
het_827_31 touch%2:35:01::
het_828_7 pint%1:23:01::
het_830_10 stonily%4:02:00::
het_832_1 pray%2:32:00::
het_834_20 whine%2:32:00::
het_837_14 common_wormwood%1:20:00::
het_840_19 krill%1:05:00::
het_843_24 obscure%2:39:00::
het_844_16 pore%1:08:00::
het_847_19 queerly%4:02:01::
het_848_12 reed%1:06:01::
het_849_13 reign%2:41:00::
het_851_8 secant%1:24:00::
het_852_4 calloused%5:00:00:tough:02
het_854_21 penny%1:21:00::
het_855_20 simile%1:10:00::
het_859_12 curse%2:32:00::
het_861_9 crevice%1:25:00::
het_863_5 board%2:38:00::
het_864_13 assent%2:32:00::
het_867_13 nastily%4:02:00::
het_870_14 adz%1:06:00::
het_871_19 mane%1:08:01::
het_872_18 pacific%5:00:01:conciliatory:00
het_874_9 ironic%5:00:00:incongruous:00
het_875_5 eagle%2:33:00::
het_877_12 plunge%2:30:10::
het_881_5 waist%1:08:00::
het_882_10 deer%1:05:00::
het_883_19 loin%1:05:00::
het_885_12 smell%1:09:02::
het_886_8 patient%1:18:00::
het_887_9 assent%2:32:00::
het_888_10 tooth%1:06:02::
het_889_8 intelligibly%4:02:00::
het_890_9 coo%2:32:00::
het_893_13 tellingly%4:02:00::
het_895_14 position%1:09:01::
het_898_18 knight%2:41:01::
het_900_19 two%5:00:00:cardinal:00
het_901_17 protease_inhibitor%1:06:00::
het_902_5 shellfish%1:13:00::
het_903_19 holey%5:00:00:leaky:00
het_905_21 minstrel%2:36:00::
het_907_8 morel%1:20:00::
het_908_8 lying%1:04:00::
het_909_9 function%1:04:00::
het_911_14 yaw%2:38:01::
het_913_11 graph%2:36:00::
het_914_7 prayer%1:18:00::
het_915_13 infantry%1:14:00::
het_920_7 spree%2:34:00::
het_921_9 steppe%1:17:00::
het_922_6 devoutly%4:02:00::
het_923_13 wildly%4:02:01::
het_924_6 coral%5:00:00:chromatic:00
het_926_14 caustically%4:02:00::
het_929_5 catch%1:04:00::
het_930_7 beet%1:13:00::
het_933_5 lichen%1:20:00::
het_934_8 impishly%4:02:00::
het_935_14 lightly%4:02:06::
het_937_8 indenture%2:32:00::
het_940_10 paint%1:06:00::
het_943_16 dye%1:27:00::
het_944_30 listen%2:39:01::
het_945_7 four_hundred%5:00:00:cardinal:00
het_948_9 veracious%5:00:00:accurate:00
het_949_22 corn%1:20:00::
het_950_8 lye%1:27:00::
het_951_1 pray%2:32:00::
het_952_17 quaveringly%4:02:00::
het_953_9 skin%2:35:00::
het_954_9 ironic%5:00:00:incongruous:00
het_955_20 mimic%2:36:00::
het_956_4 dye%2:30:00::
het_958_28 gneiss%1:27:00::
het_964_7 waist%1:08:00::
het_969_9 duel%2:33:00::
het_971_20 casual%5:00:00:careless:00
het_973_16 sawhorse%1:06:00::
het_974_19 sea%1:19:00::
het_977_10 feat%1:04:00::
het_978_17 basically%4:02:00::
het_980_11 hypocrite%1:18:00::
het_981_9 apparently%4:02:00::
het_982_15 brush%1:14:00::
het_983_9 seem%2:39:02::
het_984_12 satiate%2:34:00::
het_985_10 corporation%1:14:00::
het_986_14 bill%1:10:01::
het_987_15 clove%1:13:00::
het_989_11 sunday%1:18:00::
het_990_6 dogmatize%2:32:01::
het_991_12 afoul%5:00:00:tangled:00
het_992_10 balmy%5:00:00:insane:00
het_993_24 wit%1:10:00::
het_995_4 pharaoh%1:18:00::
het_997_10 phlegmatically%4:02:00::
het_998_11 barn%1:23:00::
het_1001_17 punishment%1:04:00::
het_1002_14 weakly%4:02:01::
het_1004_7 porpoise%1:05:00::
het_1005_19 ladle%2:35:01::
het_1006_13 relatively%4:02:00::
het_1007_13 flavorer%1:13:00::
het_1008_14 light%1:26:01::
het_1012_22 ascent%1:17:00::
het_1014_16 stand-in%1:18:00::
het_1016_15 bicycle%2:38:00::
het_1017_13 swiftly%4:02:00::
het_1018_74 lynx%1:05:00::
het_1019_12 checker%2:30:00::
het_1020_12 coffin%2:35:00::
het_1021_14 ruefully%4:02:00::
het_1022_13 forth%4:02:02::
het_1024_9 notably%4:02:00::
het_1026_10 harmonize%2:30:01::
het_1027_10 coupe%1:06:00::
het_1028_14 one%1:23:00::
het_1029_9 spatial%3:01:00::
het_1030_10 swerve%2:38:00::
het_1031_14 permit%2:32:00::
het_1032_12 think%2:31:03::
het_1033_17 try%2:41:00::
het_1034_7 blankly%4:02:00::
het_1035_11 liquidation%1:04:00::
het_1036_22 bee%1:14:00::
het_1037_11 fluently%4:02:00::
het_1043_45 sell%1:04:00::
het_1045_17 expectorate%2:29:00::
het_1046_11 loudly%4:02:00::
het_1048_9 floor%1:06:01::
het_1049_6 write%2:36:10::
het_1050_10 mitten%1:06:00::
het_1052_12 watt%1:18:00::
het_1053_15 awl%1:06:00::
het_1054_17 metallic_element%1:27:00::
het_1055_20 protease_inhibitor%1:06:00::
het_1056_17 freight%2:35:00::
het_1057_9 morel%1:20:00::
het_1061_13 crudely%4:02:00::
het_1062_9 pi%1:23:00::
het_1063_14 pudding%1:13:00::
het_1065_33 kernel%1:09:00::
het_1066_22 tenor%5:00:00:high:03
het_1067_19 whistle%2:32:01::
het_1070_16 away%4:02:00::
het_1071_10 census%2:32:00::
het_1074_37 staphylococcus%1:05:00::
het_1075_3 sunday%1:18:00::
het_1076_8 soot%2:35:00::
het_1077_16 byte%1:23:00::
het_1078_9 irrigation%1:04:01::
het_1079_9 waist%1:08:00::
het_1080_15 engels%1:18:00::
het_1082_14 ache%2:37:06::
het_1084_15 trouble%2:29:00::
het_1085_11 marx%1:18:00::
het_1086_9 contraction%1:10:00::
het_1088_26 cos%1:13:00::
het_1089_14 ruefully%4:02:00::
het_1090_9 inca%1:14:00::
het_1094_8 whine%2:32:00::
het_1095_10 coo%2:32:00::
het_1096_16 groan%2:32:00::
het_1098_13 lumbar%3:01:00::
het_1099_13 tidal_bore%1:11:00::
het_1101_11 warship%1:06:00::
het_1103_36 presence%1:04:00::
het_1104_23 hobbit%1:18:00::
het_1105_12 barbarously%4:02:00::
het_1109_5 flour%2:30:00::
het_1110_18 bin%2:35:00::
het_1112_8 phrase%1:10:00::
het_1114_16 kernel%1:20:01::
het_1115_10 graph%2:36:01::
het_1116_5 roundly%4:02:00::
het_1117_10 butte%1:15:00::
het_1122_13 brie%1:13:00::
het_1123_12 udder%1:05:00::
het_1126_8 understand%2:31:02::
het_1128_10 brake%2:38:00::
het_1129_5 stanza%1:10:00::
het_1130_11 finn%1:18:00::
het_1132_8 spread%1:13:00::
het_1133_19 gesture%1:10:00::
het_1134_15 suede_cloth%1:06:00::
het_1137_8 abominable_snowman%1:18:00::
het_1140_15 match%2:42:00::
het_1141_22 sine%1:24:00::
het_1142_14 organically%4:02:02::
het_1143_13 flea%1:05:00::
het_1144_19 jester%1:18:00::
het_1148_14 sole%2:30:00::
het_1150_7 mail%1:14:00::
het_1152_21 wholly%4:02:00::
het_1156_9 testily%4:02:00::
het_1157_13 clamor%2:41:00::
het_1159_11 curiously%4:02:00::
het_1160_9 summarily%4:02:00::
het_1167_10 sword%1:06:00::
het_1168_13 raisin%1:13:00::
het_1171_9 mouton%1:13:00::
het_1173_9 rabbit%1:13:00::
het_1174_10 resignedly%4:02:00::
het_1175_35 stationery%1:10:00::
het_1176_11 appreciatively%4:02:00::
het_1177_20 rhyme%2:42:00::
het_1180_14 whine%2:32:00::
het_1181_8 movingly%4:02:00::
het_1183_16 fondly%4:02:00::
het_1184_11 tactic%1:09:00::
het_1185_9 bazaar%1:04:00::
het_1190_10 callously%4:02:00::
het_1193_15 bee%1:14:00::
het_1194_15 granite%1:07:00::
het_1195_17 humerus%1:08:00::
het_1197_9 yeast%1:20:00::
het_1199_9 peace%1:10:00::
het_1200_15 wax%2:30:01::
het_1201_7 series%1:10:00::
het_1203_5 steal%2:33:00::
het_1204_14 allusion%1:10:00::
het_1205_18 adipose%5:00:00:fatty:00
het_1206_13 pecan%1:13:00::
het_1207_26 clause%1:10:00::
het_1209_14 sine%1:24:00::
het_1212_2 volt%1:23:00::
het_1213_14 meddle%2:41:00::
het_1214_15 wail%2:29:00::
het_1215_9 bucket%1:06:00::
het_1216_10 chic%5:00:00:stylish:00
het_1217_9 filling%1:06:01::
het_1219_17 urdu%1:10:00::
het_1221_11 weakly%4:02:01::
het_1222_3 mint%2:36:00::
het_1225_9 macho%1:18:00::
het_1226_10 recede%2:30:00::
het_1227_16 baht%1:23:00::
het_1228_7 wheedle%2:32:00::
het_1229_18 crape%1:13:00::
het_1232_16 lion%1:18:00::
het_1237_26 stultification%1:04:00::
het_1238_2 truth%1:18:00::
het_1239_9 board%2:34:00::
het_1241_8 grieve%2:37:01::
het_1242_12 mundanely%4:02:00::
het_1243_5 cellular_telephone%1:06:00::
het_1244_15 father%1:18:01::
het_1248_16 due%5:00:00:expected:00
het_1249_11 algorithm%1:09:00::
het_1250_12 badly%4:02:05::
het_1251_12 sequin%1:06:00::
het_1254_31 splice%1:06:01::
het_1255_17 boar%1:05:01::
het_1259_17 scat%2:38:00::
het_1260_12 temple%1:06:01::
het_1261_17 vein%2:36:00::
het_1262_5 caret%1:10:00::
het_1264_3 cosign%2:32:00::
het_1265_13 lama%1:05:00::
het_1266_10 suite%1:14:01::
het_1268_5 sin%1:04:01::
het_1269_8 myth%1:10:00::
het_1271_11 brake%2:38:00::
het_1273_8 czechoslovakian%1:18:00::
het_1275_10 rumor%2:32:00::
het_1276_15 verse%2:32:00::
het_1282_11 wry%5:00:00:crooked:01
het_1283_16 hamstring%2:29:00::
het_1285_9 busily%4:02:00::
het_1286_10 chic%5:00:00:stylish:00
het_1287_9 influenza%1:26:00::
het_1289_16 photographic_print%1:06:00::
het_1290_12 sorrow%1:12:01::
het_1291_13 cyclooxygenase%1:27:00::
het_1292_15 pale%5:00:00:weak:00
het_1295_12 fix%1:26:00::
het_1296_15 gluten%1:13:00::
het_1297_18 khan%1:18:00::
het_1298_6 psalms%1:10:00::
het_1299_12 tease%2:32:00::
het_1301_12 kernel%1:09:00::
het_1302_16 porpoise%1:05:00::
het_1304_18 catarrh%1:26:00::
het_1310_12 truss%2:35:00::
het_1311_4 massage%2:35:00::
het_1312_8 mendel%1:18:00::
het_1316_4 wheat%1:13:00::
het_1317_24 directorate_for_inter-services_intelligence%1:14:00::
het_1319_10 quickly%4:02:00::
het_1322_11 meaty%3:00:00::
het_1327_15 offensively%4:02:00::
het_1328_14 mutter%1:11:00::
